DATE,DCOILBRENTEU
2015/9/8,48.88
2015/9/9,48.04
2015/9/10,47.77
2015/9/11,46.87
2015/9/14,45.87
2015/9/15,45.91
2015/9/16,49.35
2015/9/17,48.27
2015/9/18,47.28
2015/9/21,47.64
2015/9/22,46.69
2015/9/23,48
2015/9/24,47.06
2015/9/25,47.28
2015/9/28,46.04
2015/9/29,47.58
2015/9/30,47.29
2015/10/1,47.48
2015/10/2,46.55
2015/10/5,49.45
2015/10/6,51.34
2015/10/7,51.66
2015/10/8,52.13
2015/10/9,52.08
2015/10/12,50.95
2015/10/13,48.94
2015/10/14,48.25
2015/10/15,47.87
2015/10/16,48.96
2015/10/19,47.51
2015/10/20,46.93
2015/10/21,46.72
2015/10/22,46.59
2015/10/23,46.3
2015/10/26,46.57
2015/10/27,45.54
2015/10/28,47.6
2015/10/29,48.04
2015/10/30,48
2015/11/2,47.91
2015/11/3,48
2015/11/4,46.96
2015/11/5,47.19
2015/11/6,46.09
2015/11/9,45.38
2015/11/10,46.44
2015/11/11,44.98
2015/11/12,44.98
2015/11/13,41.98
2015/11/16,40.28
2015/11/17,41.28
2015/11/18,41.45
2015/11/19,42.22
2015/11/20,42.49
2015/11/23,43.7
2015/11/24,44.38
2015/11/25,43.56
2015/11/26,43.55
2015/11/27,43.07
2015/11/30,43.73
2015/12/1,42.97
2015/12/2,41.92
2015/12/3,42
2015/12/4,41.44
2015/12/7,39.69
2015/12/8,39.44
2015/12/9,39.04
2015/12/10,38.65
2015/12/11,36.99
2015/12/14,36.51
2015/12/15,37.66
2015/12/16,36.96
2015/12/17,36.29
2015/12/18,36.76
2015/12/21,35.34
2015/12/22,35.26
2015/12/23,35.79
2015/12/24,37.22
2015/12/25,.
2015/12/28,37.08
2015/12/29,36.85
2015/12/30,35.65
2015/12/31,36.61
2016/1/1,.
2016/1/4,36.28
2016/1/5,35.56
2016/1/6,33.89
2016/1/7,33.57
2016/1/8,31.67
2016/1/11,30.14
2016/1/12,29.14
2016/1/13,28.58
2016/1/14,28.84
2016/1/15,28.8
2016/1/18,27.36
2016/1/19,27.36
2016/1/20,26.01
2016/1/21,27.59
2016/1/22,30.46
2016/1/25,29.82
2016/1/26,30.94
2016/1/27,31.83
2016/1/28,33.01
2016/1/29,33.14
2016/2/1,32.45
2016/2/2,30.98
2016/2/3,32.38
2016/2/4,32.76
2016/2/5,32.35
2016/2/8,31.64
2016/2/9,30.15
2016/2/10,29.64
2016/2/11,28.82
2016/2/12,31.8
2016/2/15,.
2016/2/16,31.09
2016/2/17,33.21
2016/2/18,33.2
2016/2/19,31.66
2016/2/22,33.59
2016/2/23,31.9
2016/2/24,31.5
2016/2/25,32.83
2016/2/26,35.76
2016/2/29,35.92
2016/3/1,35.73
2016/3/2,36.38
2016/3/3,35.75
2016/3/4,37.61
2016/3/7,39.02
2016/3/8,39.16
2016/3/9,40.26
2016/3/10,38.63
2016/3/11,39.41
2016/3/14,38.06
2016/3/15,37.49
2016/3/16,38.38
2016/3/17,39.29
2016/3/18,39.26
2016/3/21,39.91
2016/3/22,40.54
2016/3/23,38.84
2016/3/24,38.33
2016/3/25,.
2016/3/28,38.33
