DATE,DCOILWTICO
2015/9/8,45.92
2015/9/9,44.13
2015/9/10,45.85
2015/9/11,44.75
2015/9/14,44.07
2015/9/15,44.58
2015/9/16,47.12
2015/9/17,46.93
2015/9/18,44.71
2015/9/21,46.67
2015/9/22,46.17
2015/9/23,44.53
2015/9/24,44.94
2015/9/25,45.55
2015/9/28,44.4
2015/9/29,45.24
2015/9/30,45.06
2015/10/1,44.75
2015/10/2,45.54
2015/10/5,46.28
2015/10/6,48.53
2015/10/7,47.86
2015/10/8,49.46
2015/10/9,49.67
2015/10/12,47.09
2015/10/13,46.7
2015/10/14,46.63
2015/10/15,46.38
2015/10/16,47.3
2015/10/19,45.91
2015/10/20,45.84
2015/10/21,45.22
2015/10/22,44.9
2015/10/23,43.91
2015/10/26,43.19
2015/10/27,43.21
2015/10/28,45.93
2015/10/29,46.02
2015/10/30,46.6
2015/11/2,46.12
2015/11/3,47.88
2015/11/4,46.32
2015/11/5,45.27
2015/11/6,44.32
2015/11/9,43.87
2015/11/10,44.23
2015/11/11,42.95
2015/11/12,41.74
2015/11/13,40.69
2015/11/16,41.68
2015/11/17,40.73
2015/11/18,40.75
2015/11/19,40.55
2015/11/20,39.39
2015/11/23,39.27
2015/11/24,40.89
2015/11/25,41.22
2015/11/26,.
2015/11/27,40.57
2015/11/30,40.43
2015/12/1,40.58
2015/12/2,39.93
2015/12/3,41.08
2015/12/4,40
2015/12/7,37.64
2015/12/8,37.46
2015/12/9,37.16
2015/12/10,36.76
2015/12/11,35.65
2015/12/14,36.31
2015/12/15,37.32
2015/12/16,35.55
2015/12/17,34.98
2015/12/18,34.72
2015/12/21,34.55
2015/12/22,36.12
2015/12/23,36.76
2015/12/24,37.62
2015/12/25,.
2015/12/28,36.36
2015/12/29,37.88
2015/12/30,36.59
2015/12/31,37.13
2016/1/1,.
2016/1/4,36.81
2016/1/5,35.97
2016/1/6,33.97
2016/1/7,33.29
2016/1/8,33.2
2016/1/11,31.42
2016/1/12,30.42
2016/1/13,30.42
2016/1/14,31.22
2016/1/15,29.45
2016/1/18,.
