date,positive,volatility
20200123,3,-0.017666358
20200124,4,-0.028603237
20200127,6,-0.015868818
20200128,7,0.009585237
20200129,8,0.000443656
20200130,8,-0.02518847
20200131,13,-0.005095078
20200203,13,-0.048376772
20200204,16,-0.005477609
20200205,17,0.026475988
20200206,18,-0.001035489
20200207,28,-0.011779118
20200210,35,-0.018022313
20200211,50,0.009904836
20200212,59,0.025673077
20200213,93,0.010124684
20200214,106,0.015313225
20200217,122,-0.471389397
20200218,148,0.892616289
20200219,179,0.032709
20200220,208,0.002742635
20200221,299,-0.012175754
20200224,388,-0.034744552
20200225,470,-0.027759785
20200226,570,-0.013705149
20200227,757,-0.041204284
20200228,1271,-0.032407407
20200302,1538,0.032868733
20200303,1905,0.002114804
20200304,2346,-0.00874284
20200305,2873,-0.014699919
20200306,5495,-0.10752135
20200309,6746,-0.234724464
20200310,8315,0.055137089
20200311,11928,-0.035122787
20200312,15099,-0.073986387
20200313,32910,0.022211569
20200316,42169,-0.109895263
20200317,53611,-0.035300316
20200318,64243,-0.212270162
20200319,77116,0.134042061
20200320,133540,-0.082331363
20200323,153195,0.045525205
20200324,175092,-0.032922685
20200325,199786,0.018449374
20200326,225559,-0.134138452
20200327,318748,-0.056787049
20200330,344298,-0.120940058
20200331,373235,0.062180835
20200401,403972,-0.00311086
20200402,434506,0.288510638
20200403,533837,0.160061647
20200406,561681,-0.07401784
20200407,586814,-0.06456241
20200408,612445,0.099693252
20200409,642743,-0.140665471
20200413,733593,-0.481567355
20200414,761061,0.873434705
20200415,786933,-0.050847458
20200416,813266,-0.031438632
20200417,944041,-0.011685277
20200420,971421,-1.515501839
20200421,994026,-1.918960245
20200422,1019245,0.520244038
20200423,1045886,0.098869026
20200424,1137695,0.057768924
20200427,1163462,-0.141870684
20200428,1185985,0.024140454
20200429,1208434,0.175
20200430,1233490,0.134954407
20200501,1313395,0.023299411
20200504,1334899,0.069615284
20200505,1353135,0.223880597
20200506,1375798,-0.038784486
20200507,1396991,-0.003535774
20200508,1473107,-0.483823836
20200511,1493278,1.003639304
20200512,1514270,0.058123108
20200513,1535123,0.015830631
20200514,1556442,0.075291025
20200515,1629100,0.054478785
20200518,1649205,0.078489816
20200519,1668003,0.003531399
20200520,1684632,0.045287638
20200521,1704017,0.011124122
20200522,1773902,-0.025911986
20200526,1795541,0.020211027
20200527,1815956,-0.045447924
20200528,1835938,0.032351595
20200529,1856250,0.03059867
20200601,1942370,0.036001147
20200602,1959382,0.032811851
20200603,1976557,0.009517426
20200604,1997360,0.006904794
20200605,2068210,0.061453251
20200608,2089583,-0.033047584
20200609,2108093,0.020557626
20200610,2131528,0.016240715
20200611,2155401,-0.080896928
20200612,2245968,0.007952554
20200615,2273252,0.023134528
20200616,2300269,0.032675467
20200617,2333290,-0.007973674
20200618,2371974,0.027558051
20200619,2499250,0.018748448
20200622,2541107,0.021328458
20200623,2580282,-0.008114558
20200624,2627744,-0.057868142
20200625,2678418,0.019537735
20200626,2841201,-0.004258517
20200629,2886990,0.022012579
20200630,2928590,-0.004184615
20200701,2980356,0.014213323
20200702,3042503,0.020716549
20200703,3230991,-0.487583572
20200706,3291969,0.939422181
20200707,3350434,0.007568477
20200708,3413313,0.008465482
20200709,3478695,-0.030621896
20200710,3692061,0.022441761
20200713,3756945,-0.010974591
20200714,3813916,0.004342058
20200715,3877558,0.02269725
20200716,3946708,-0.008337248
20200717,4158341,-0.004381291
20200720,4220054,0.000594672
20200721,4275188,0.023059551
20200722,4331417,-0.002439875
20200723,4398386,-0.022245516
20200724,4596299,0.006789756
20200725,4644565,0.003904401
20200728,4694126,-0.010017678
20200729,4745694,0.007619048
20200730,4797959,-0.021384688
20200731,4967680,0.004829168
20200803,5019045,0.016340262
20200804,5060880,0.012649249
20200805,5116474,0.017627831
20200806,5172509,-0.002294367
20200807,5336466,-0.020006899
20200810,5379549,0.010559662
20200811,5417366,-0.010681528
20200812,5457824,0.029104565
20200813,5502757,-0.006386133
20200814,5639766,-0.002524963
20200817,5678088,0.010240479
