date,positive,price
20200122,2,59.435
20200123,3,58.385
20200124,4,56.715
20200127,6,55.815
20200128,7,56.35
20200129,8,56.375
20200130,8,54.955
20200131,13,54.675
20200203,13,52.03
20200204,16,51.745
20200205,17,53.115
20200206,18,53.06
20200207,28,52.435
20200210,35,51.49
20200211,50,52
20200212,59,53.335
20200213,93,53.875
20200214,106,54.7
20200217,122,28.915
20200218,148,54.725
20200219,179,56.515
20200220,208,56.67
20200221,299,55.98
20200224,388,54.035
20200225,470,52.535
20200226,570,51.815
20200227,757,49.68
20200228,1271,48.07
20200302,1538,49.65
20200303,1905,49.755
20200304,2346,49.32
20200305,2873,48.595
20200306,5495,43.37
20200309,6746,33.19
20200310,8315,35.02
20200311,11928,33.79
20200312,15099,31.29
20200313,32910,31.985
20200316,42169,28.47
20200317,53611,27.465
20200318,64243,21.635
20200319,77116,24.535
20200320,133540,22.515
20200323,153195,23.54
20200324,175092,22.765
20200325,199786,23.185
20200326,225559,20.075
20200327,318748,18.935
20200330,344298,16.645
20200331,373235,17.68
20200401,403972,17.625
20200402,434506,22.71
20200403,533837,26.345
20200406,561681,24.395
20200407,586814,22.82
20200408,612445,25.095
20200409,642743,21.565
20200413,733593,11.18
20200414,761061,20.945
20200415,786933,19.88
20200416,813266,19.255
20200417,944041,19.03
20200420,971421,-9.81
20200421,994026,9.015
20200422,1019245,13.705
20200423,1045886,15.06
20200424,1137695,15.93
20200427,1163462,13.67
20200428,1185985,14
20200429,1208434,16.45
20200430,1233490,18.67
20200501,1313395,19.105
20200504,1334899,20.435
20200505,1353135,25.01
20200506,1375798,24.04
20200507,1396991,23.955
20200508,1473107,12.365
20200511,1493278,24.775
20200512,1514270,26.215
20200513,1535123,26.63
20200514,1556442,28.635
20200515,1629100,30.195
20200518,1649205,32.565
20200519,1668003,32.68
20200520,1684632,34.16
20200521,1704017,34.54
20200522,1773902,33.645
20200526,1795541,34.325
20200527,1815956,32.765
20200528,1835938,33.825
20200529,1856250,34.86
20200601,1942370,36.115
20200602,1959382,37.3
20200603,1976557,37.655
20200604,1997360,37.915
20200605,2068210,40.245
20200608,2089583,38.915
20200609,2108093,39.715
20200610,2131528,40.36
20200611,2155401,37.095
20200612,2245968,37.39
20200615,2273252,38.255
20200616,2300269,39.505
20200617,2333290,39.19
20200618,2371974,40.27
20200619,2499250,41.025
20200622,2541107,41.9
20200623,2580282,41.56
20200624,2627744,39.155
20200625,2678418,39.92
20200626,2841201,39.75
20200629,2886990,40.625
20200630,2928590,40.455
20200701,2980356,41.03
20200702,3042503,41.88
20200703,3230991,21.46
20200706,3291969,41.62
20200707,3350434,41.935
20200708,3413313,42.29
20200709,3478695,40.995
20200710,3692061,41.915
20200713,3756945,41.455
20200714,3813916,41.635
20200715,3877558,42.58
20200716,3946708,42.225
20200717,4158341,42.04
20200720,4220054,42.065
20200721,4275188,43.035
20200722,4331417,42.93
20200723,4398386,41.975
20200724,4596299,42.26
20200725,4644565,42.425
20200728,4694126,42
20200729,4745694,42.32
20200730,4797959,41.415
20200731,4967680,41.615
20200803,5019045,42.295
20200804,5060880,42.83
20200805,5116474,43.585
20200806,5172509,43.485
20200807,5336466,42.615
20200810,5379549,43.065
20200811,5417366,42.605
20200812,5457824,43.845
20200813,5502757,43.565
20200814,5639766,43.455
20200817,5678088,43.9
