date,production,positive
2020/1/24,13000,4
2020/1/31,12900,13
2020/2/7,13000,28
2020/2/14,13000,106
2020/2/21,13000,299
2020/2/28,13100,1271
2020/3/6,13000,5495
2020/3/13,13100,32910
2020/3/20,13000,133540
2020/3/27,13000,318748
2020/4/3,12400,533837
2020/4/10,12300,642743
2020/4/17,12200,944041
2020/4/24,12100,1137659
2020/5/1,11900,1313395
2020/5/8,11600,1473107
2020/5/15,11500,1629100
2020/5/22,11400,1773902
2020/5/29,11200,1856250
2020/6/5,11100,2068210
2020/6/12,10500,2245968
2020/6/19,11000,2499250
2020/6/26,11000,2841201
2020/7/3,11000,3230991
2020/7/10,11000,3692061
2020/7/17,11100,4158341
2020/7/24,11100,4596299
2020/7/31,11000,4967680
2020/8/7,10700,5336466
2020/8/14,10700,5639766
