date,imports,positive
43854,6660,4
43861,6615,13
43868,6978,28
43875,6547,106
43882,6217,299
43889,6238,1271
43896,6412,5495
43903,6539,32910
43910,6117,133540
43917,6047,318748
43924,5874,533837
43931,5680,642743
43938,4937,944041
43945,5302,1137659
43952,5712,1313395
43959,5391,1473107
43966,5197,1629100
43973,7200,1773902
43980,6179,1856250
43987,6864,2068210
43994,6642,2245968
44001,6540,2499250
44008,5969,2841201
44015,7394,3230991
44022,5567,3692061
44029,5941,4158341
44036,5146,4596299
44043,6010,4967680
44050,5621,5336466
44057,5730,5639766
