date,demand,positive
2020/1/24,19598,4
2020/1/31,20810,13
2020/2/7,20965,28
2020/2/14,19602,106
2020/2/21,19870,299
2020/2/28,21265,1271
2020/3/6,21875,5495
2020/3/13,21456,32910
2020/3/20,19420,133540
2020/3/27,17852,318748
2020/4/3,14437,533837
2020/4/10,13797,642743
2020/4/17,14103,944041
2020/4/24,15763,1137659
2020/5/1,15354,1313395
2020/5/8,16814,1473107
2020/5/15,16586,1629100
2020/5/22,15958,1773902
2020/5/29,15066,1856250
2020/6/5,17573,2068210
2020/6/12,17290,2245968
2020/6/19,18348,2499250
2020/6/26,17353,2841201
2020/7/3,18120,3230991
2020/7/10,18480,3692061
2020/7/17,17654,4158341
2020/7/24,19094,4596299
2020/7/31,17912,4967680
2020/8/7,19369,5336466
2020/8/14,17159,5639766
